127.0.0.1 - - [22/Jul/2024:11:09:00 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:10:22 +0900] "GET /swagger-ui.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:10:23 +0900] "GET /favicon.ico HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:10:25 +0900] "GET / HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:10:50 +0900] "GET / HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:54 +0900] "GET //starbucks-homepage1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:54 +0900] "GET /starbucks-homepage1/ HTTP/1.1" 200 23360
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:54 +0900] "GET /images/starbucks/badge1.jpg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:54 +0900] "GET /starbucks-homepage1/js/jquery-3.7.1.js HTTP/1.1" 200 296028
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:54 +0900] "GET /images/starbucks/starbucks_logo.png HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:54 +0900] "GET /starbucks-homepage1/css/main.css HTTP/1.1" 200 18641
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:55 +0900] "GET /images/starbucks/visual_title.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:55 +0900] "GET /images/starbucks/badge2.jpg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:55 +0900] "GET /images/starbucks/visual_cup1.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:55 +0900] "GET /starbucks-homepage1/js/youtube.js HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:55 +0900] "GET /starbucks-homepage1/js/main.js HTTP/1.1" 200 6063
0:0:0:0:0:0:0:1 - - [22/Jul/2024:11:11:55 +0900] "GET /images/starbucks/visual_cup1_text.png HTTP/1.1" 404 812
